ax	ay	az	wx	wy	wz	roll	pitch	yaw
18:38:02.69	-0.001983316615	-0.000417803618	0.016797242686	0.009463738650	0.021158665419	-0.006499741692	0.104912042149	0.016474421088	-0.000899056853
18:38:02.70	0.016424724832	0.009663654491	0.036677751690	-0.070131398737	-0.009528457187	0.025131657720	0.106347308417	0.015706781226	-0.000724286642
18:38:02.71	0.015111917630	0.019479783252	0.056339014322	-0.136496543884	0.015055987053	0.093280933797	0.108997986428	0.012201644401	0.000070664380
18:38:02.72	0.015933981165	0.031513225287	0.063353821635	-0.210132613778	0.039663251489	0.178548797965	0.111849927432	0.006855076255	0.001816999692
18:38:02.74	0.019811900333	0.020501140505	0.086090050638	-0.207095608115	0.037573792040	0.257211118937	0.112215017157	0.004998232471	0.004445970977
18:38:02.75	0.001466694404	0.020606402308	0.125602871180	-0.154017254710	0.055601045489	0.330071479082	0.112740631108	0.003653895262	0.007692414868
18:38:02.75	-0.053163293749	-0.000206473167	0.133093565702	-0.064558528364	0.115031145513	0.413474202156	0.113711507329	0.003211501107	0.011739673839
18:38:02.76	-0.086183391511	0.016605485231	0.157698586583	0.064344808459	0.121212393045	0.406476497650	0.114955997661	0.003986477803	0.015789469287
18:38:02.77	-0.119801461697	0.072508007288	0.179004281759	0.188379362226	0.019011504948	0.443192422390	0.115359545181	0.006040756690	0.019874431943
18:38:02.78	-0.071075730026	0.062625989318	0.220360219479	0.341539829969	0.002873068908	0.506931424141	0.115342985407	0.009617105981	0.024406267363
18:38:02.80	-0.056438155472	0.064724490047	0.262695044279	0.498737096786	-0.000527468044	0.550524711609	0.115269049535	0.014783013222	0.029246422235
18:38:02.80	-0.061729986221	0.090019941330	0.292725086212	0.683629155159	-0.035855576396	0.593440473080	0.114958157733	0.021753832119	0.034280809015
18:38:02.82	-0.067703694105	0.116564445198	0.314967125654	0.887305557728	-0.111569993198	0.695292532444	0.113871430469	0.030799657573	0.039935844754
18:38:02.83	-0.111607149243	0.168499454856	0.368376016617	1.090780019760	-0.174491107464	0.871737122536	0.111985683880	0.042062271620	0.046934595326
18:38:02.83	-0.165823921561	0.201068148017	0.422808974981	1.228247523308	-0.190544858575	1.053773164749	0.109706626689	0.055084651500	0.055660151420
18:38:02.84	-0.236016675830	0.259302526712	0.474006026983	1.250850200653	-0.262794256210	1.167673468590	0.106679248100	0.068759154904	0.065672900955
18:38:02.86	-0.294533193111	0.281327277422	0.500778436661	1.226380109787	-0.152171805501	1.260546326637	0.103908847794	0.082277633589	0.076679027828
18:38:02.86	-0.416498929262	0.308699071407	0.406988114119	1.140365123749	0.036142800003	1.375201821327	0.102536630383	0.095235170438	0.088964771039
18:38:02.88	-0.549383878708	0.255203455687	0.248996809125	1.125085592270	0.640956103802	1.416276812553	0.106044634771	0.107844622597	0.101846190122
18:38:02.89	-0.689067542553	0.280771195889	0.094849683344	0.887748837471	0.627510011196	1.449134945869	0.111659353418	0.119157221870	0.115194626141
18:38:02.90	-0.633131265640	0.184901222587	0.086772523820	-0.041400417686	-0.778340697289	1.436561584473	0.106394305377	0.123047187871	0.129334077550
18:38:02.90	-0.644264638424	0.127309441566	0.079800486565	-1.133584618568	-2.218004465103	1.337566018105	0.085707372531	0.115711395502	0.143899704709
18:38:02.92	-0.719894647598	0.064625605941	-0.025346614420	-1.992887854576	-2.756749153137	1.158909440041	0.057455068797	0.098629431204	0.157157201729
18:38:02.92	-0.787671864033	0.051002163440	-0.035229325294	-2.358953714371	-2.453359842300	1.017798662186	0.030746763027	0.076145918026	0.168778289575
18:38:02.94	-0.811696410179	0.029238555580	-0.102193064988	-2.278285980225	-1.577807784081	0.772926867008	0.012046386030	0.053158852839	0.177670657115
18:38:02.95	-0.763283014297	0.060123719275	-0.187782511115	-1.947618365288	-0.745213031769	0.393425345421	0.002450584635	0.032831642548	0.182784162039
