ax	ay	az	wx	wy	wz	roll	pitch	yaw
0.019158689	-0.005834648	0.000831372	-0.000740405	0.003474263	0.016956609	-0.003048214	0.042869277	0.000150378
0.014000165	-0.00415139	-0.004351069	0.019397624	-0.026317881	0.007890548	0.000358706	0.044248668	0.000118869
0.009414705	-0.004268893	-0.003539194	0.016122345	-0.012497245	0.000619478	0.001176078	0.044848924	9.20691E-05
0.015043901	-0.006779846	-0.001072802	0.006538854	0.00027683	0.000870107	0.002567411	0.045588849	3.02375E-05
0.015203863	-0.008075765	-0.000606489	0.001236318	-0.002895861	0.003038678	0.003873785	0.046307849	-5.12991E-06
0.013025286	-0.00558278	1.12524E-05	-0.007237039	-0.000748088	0.007428308	0.004878614	0.046710816	2.01611E-05
0.010501371	-0.004538616	-0.003176311	-0.011601547	0.00014611	0.007775113	0.00566395	0.046915972	7.28523E-05
0.007944951	-0.005254939	-0.003815328	-0.01268938	0.001212268	0.005672154	0.006222155	0.047130671	0.000109922
0.006998615	-0.002911553	-0.004459566	-0.020214912	0.016103143	-0.000467628	0.006787659	0.047124196	9.98776E-05
0.009645258	-0.00023382	-0.006482208	-0.025595725	0.010798755	-0.004701192	0.007498668	0.046871964	3.20458E-05
0.012965908	0.001643385	-0.000457518	-0.034166902	0.016084207	-0.004456771	0.008405559	0.046444627	-4.58585E-05
0.00526884	0.009224791	-0.001106852	-0.034126539	-0.017922986	0.000537592	0.008656277	0.045587015	-6.54239E-05
-0.00386094	0.00419263	0.051782899	-0.079388566	-0.130540624	-0.038223062	0.0072099	0.044765441	-0.000283461
0.003311635	-0.010912065	0.025079874	-0.056686066	0.058627486	-0.017577741	0.007499155	0.044721126	-0.000573266
0.013024913	0.015113506	-0.05777574	-0.055323873	0.104346864	0.007307039	0.009185392	0.043371121	-0.00055346
0.021496352	0.019844515	-0.019955192	-0.03634876	0.099005118	-0.010021634	0.011106436	0.04198209	-0.000642972
0.01294001	0.015247334	-0.01587089	-0.001072544	0.129786268	-0.001693774	0.01296552	0.041198929	-0.000719764
0.008151772	0.013337686	-0.027068539	0.004374117	0.111719571	0.009762338	0.014489477	0.040631579	-0.000657394
0.006374984	0.012683036	-0.017199591	0.015085501	0.111709803	0.014936615	0.01585529	0.040205463	-0.000531118
0.00922088	0.013074558	-0.020420011	0.048130155	0.08934626	0.016405296	0.017176193	0.040062813	-0.000381163
0.010576208	0.013444095	-0.010500422	0.083281584	0.06697952	0.015717832	0.018294031	0.040295208	-0.00025238
0.010539125	0.015206273	0.003562829	0.105654493	0.044632901	0.016266575	0.019202125	0.040760771	-0.000124328
0.00903287	0.015819486	0.019427566	0.094007894	0.0520938	0.022877596	0.019672069	0.041756303	6.26244E-05
0.010472092	0.013977513	0.034675147	0.049310934	0.087237723	0.028070219	0.020431469	0.04238681	0.000317233
0.006776953	0.011086072	0.051301181	-0.045448657	0.157531917	0.035336375	0.021793378	0.042211277	0.000658119
-0.00291241	0.011906526	0.071461029	-0.167885676	0.262943357	0.045437604	0.024113701	0.040482035	0.001120195
-0.007543811	0.008807893	0.090028927	-0.303989261	0.385388911	0.070779167	0.027647656	0.0378086	0.001820626
0.003096448	0.008219007	0.09560018	-0.444435388	0.447255224	0.091346748	0.031961358	0.033738102	0.002807239
-0.00984828	0.012870347	0.113298781	-0.559243739	0.503771544	0.11683692	0.036787969	0.02845341	0.004066984
-0.006134349	0.028877851	0.114722267	-0.636618197	0.601688564	0.151791424	0.042519455	0.022333687	0.00576945
0.000168696	0.001219678	0.106356338	-0.671755552	0.620874047	0.154575497	0.048699983	0.015761957	0.007625033
-0.009633767	-0.005582342	0.107950129	-0.659034252	0.582589567	0.149783924	0.054585055	0.009203555	0.009469001
-0.03887054	-0.005137521	0.130517751	-0.611010015	0.61121732	0.153664663	0.06054477	0.003071712	0.011343546
-0.070619784	-0.000919524	0.153726578	-0.573359907	0.693015575	0.180532232	0.067252726	-0.002613253	0.01342724
-0.092923723	-0.003890821	0.160612032	-0.556935191	0.735524416	0.216885969	0.074547284	-0.008041299	0.01589314
-0.103947476	-0.006510813	0.177572787	-0.547209382	0.733390212	0.228436604	0.081921102	-0.013331887	0.018596685
-0.121600874	-0.002202568	0.184865028	-0.547599375	0.688733816	0.196101576	0.089003592	-0.018591578	0.021126658
-0.140286505	0.008068208	0.178619251	-0.572782278	0.599462628	0.141335249	0.095261502	-0.024053863	0.023178614
-0.156831831	0.02297188	0.155330494	-0.649000943	0.485827982	0.098726794	0.10048218	-0.030179064	0.024873591
-0.162300408	0.033290368	0.093667597	-0.773347676	0.380760729	0.041955113	0.104519421	-0.037473408	0.026193352
-0.163148418	0.041948654	0.066010803	-0.87946409	0.425532252	-0.010443121	0.10860564	-0.045958146	0.027130313
-0.163321823	0.049978074	0.01894279	-0.960991621	0.466057956	-0.042967979	0.113245544	-0.055366369	0.027803277
-0.181196198	0.048923086	-0.03049808	-0.977794707	0.475660056	-0.021373482	0.118013942	-0.065106052	0.028635292
-0.200484172	0.037888497	-0.055782951	-0.92357856	0.490500271	0.057824131	0.12296241	-0.074408538	0.030107742
-0.221342951	0.010339865	-0.10041362	-0.791104972	0.507369339	0.17534782	0.128210423	-0.082450664	0.032611213
-0.250034809	-0.002825499	-0.144795865	-0.603735149	0.502875566	0.247247294	0.133537414	-0.088619548	0.03579776
-0.318156749	0.003932616	-0.14977096	-0.396143973	0.48979947	0.22411187	0.138729501	-0.092711986	0.03875921
-0.396803916	0.008433949	-0.144280091	-0.230123624	0.442726582	0.109723777	0.143440751	-0.095164214	0.040544595
-0.449366033	0.062476814	-0.121380322	-0.163055703	0.361750573	-0.080249108	0.14728771	-0.096915553	0.040553106
-0.468975842	0.040552109	-0.123835191	-0.172430634	0.281917274	-0.336201817	0.150049262	-0.098998558	0.038104674
-0.430546641	0.034869198	-0.090133443	-0.192489088	0.248864055	-0.595820069	0.152114001	-0.101627671	0.033111419
-0.421495289	0.048963312	-0.116417944	-0.246697783	0.175519854	-0.764936626	0.153313828	-0.105022979	0.026206765
-0.426858217	0.022519868	-0.124065176	-0.328370064	0.204308942	-0.823135793	0.154355589	-0.109320061	0.018657804
-0.41195935	0.061145958	-0.117415361	-0.402199894	0.23735483	-0.848421454	0.155775421	-0.114427074	0.010904713
-0.446537107	0.092968307	-0.136935383	-0.433247596	0.350056648	-0.863950372	0.157949374	-0.119996464	0.003051323
-0.449076951	0.134697109	-0.065457478	-0.367318988	0.562471986	-0.97770834	0.16204906	-0.125319998	-0.005702913
-0.45045045	0.174264774	-0.044792138	-0.249993488	0.590901017	-1.157741785	0.166653495	-0.129902747	-0.01630242
-0.421554297	0.200377584	0.015181756	-0.085462391	0.481055558	-1.399303317	0.170139719	-0.133391674	-0.02936756
-0.418173015	0.187745541	-0.01430787	0.020202721	0.098184153	-1.55969429	0.170159333	-0.135976322	-0.044544022
-0.39294228	0.176201969	-0.038982481	0.026691718	-0.202654198	-1.633924603	0.166473163	-0.138371864	-0.060699825
-0.408625633	0.222434565	-0.001781081	-0.098200485	-0.149333388	-1.650882006	0.162376244	-0.141640238	-0.076982968
-0.430398345	0.282972574	0.008747406	-0.325030506	0.121992439	-1.733536959	0.160485811	-0.1469842	-0.093554579
-0.43730247	0.309944063	-0.018301265	-0.563590646	0.331642658	-1.907046676	0.160704809	-0.154939031	-0.111271174
-0.429505438	0.299632639	-0.056398105	-0.725514114	0.413632125	-2.085997343	0.161627821	-0.165043836	-0.130543129
-0.412036121	0.305738658	-0.074690744	-0.784817994	0.391322613	-2.236473799	0.162132202	-0.176205047	-0.151274043
-0.390930504	0.319093853	-0.121184237	-0.804744899	0.278609693	-2.389406443	0.161190949	-0.187884244	-0.173538571
